statistic_id,start,unit,delta
sensor:ewz_stromverbrauch,30.08.2026 00:00,kWh,0.114988
sensor:ewz_stromverbrauch,30.08.2026 01:00,kWh,0.125993
sensor:ewz_stromverbrauch,30.08.2026 02:00,kWh,0.116989
sensor:ewz_stromverbrauch,30.08.2026 03:00,kWh,0.117986
sensor:ewz_stromverbrauch,30.08.2026 04:00,kWh,0.120977
sensor:ewz_stromverbrauch,30.08.2026 05:00,kWh,0.108994
sensor:ewz_stromverbrauch,30.08.2026 06:00,kWh,0.121805
sensor:ewz_stromverbrauch,30.08.2026 07:00,kWh,0.099989
sensor:ewz_stromverbrauch,30.08.2026 08:00,kWh,0.221961
sensor:ewz_stromverbrauch,30.08.2026 09:00,kWh,0.188047
sensor:ewz_stromverbrauch,30.08.2026 10:00,kWh,0.070653
sensor:ewz_stromverbrauch,30.08.2026 11:00,kWh,0.05225
sensor:ewz_stromverbrauch,30.08.2026 12:00,kWh,0.205787
sensor:ewz_stromverbrauch,30.08.2026 13:00,kWh,0.231769
sensor:ewz_stromverbrauch,30.08.2026 14:00,kWh,0.282346
sensor:ewz_stromverbrauch,30.08.2026 15:00,kWh,0.1573
sensor:ewz_stromverbrauch,30.08.2026 16:00,kWh,0.113236
sensor:ewz_stromverbrauch,30.08.2026 17:00,kWh,0.109192
sensor:ewz_stromverbrauch,30.08.2026 18:00,kWh,0.770147
sensor:ewz_stromverbrauch,30.08.2026 19:00,kWh,0.305436
sensor:ewz_stromverbrauch,30.08.2026 20:00,kWh,0.308944
sensor:ewz_stromverbrauch,30.08.2026 21:00,kWh,0.200995
sensor:ewz_stromverbrauch,30.08.2026 22:00,kWh,0.289
sensor:ewz_stromverbrauch,30.08.2026 23:00,kWh,0.222991
sensor:ewz_stromverbrauch,31.08.2026 00:00,kWh,0.280971
sensor:ewz_stromverbrauch,31.08.2026 01:00,kWh,0.127994
sensor:ewz_stromverbrauch,31.08.2026 02:00,kWh,0.131985
sensor:ewz_stromverbrauch,31.08.2026 03:00,kWh,0.107994
sensor:ewz_stromverbrauch,31.08.2026 04:00,kWh,0.131985
sensor:ewz_stromverbrauch,31.08.2026 05:00,kWh,0.105992
sensor:ewz_stromverbrauch,31.08.2026 06:00,kWh,0.125812
sensor:ewz_stromverbrauch,31.08.2026 07:00,kWh,0.106702
sensor:ewz_stromverbrauch,31.08.2026 08:00,kWh,0.160951
sensor:ewz_stromverbrauch,31.08.2026 09:00,kWh,0.180601
sensor:ewz_stromverbrauch,31.08.2026 10:00,kWh,0.172374
sensor:ewz_stromverbrauch,31.08.2026 11:00,kWh,0.615957
sensor:ewz_stromverbrauch,31.08.2026 12:00,kWh,0.27885
sensor:ewz_stromverbrauch,31.08.2026 13:00,kWh,0.048448
sensor:ewz_stromverbrauch,31.08.2026 14:00,kWh,0.025584
sensor:ewz_stromverbrauch,31.08.2026 15:00,kWh,0.06824
sensor:ewz_stromverbrauch,31.08.2026 16:00,kWh,0.087451
sensor:ewz_stromverbrauch,31.08.2026 17:00,kWh,0.112124
sensor:ewz_stromverbrauch,31.08.2026 18:00,kWh,0.124181
sensor:ewz_stromverbrauch,31.08.2026 19:00,kWh,0.098294
sensor:ewz_stromverbrauch,31.08.2026 20:00,kWh,0.250955
sensor:ewz_stromverbrauch,31.08.2026 21:00,kWh,0.448987
sensor:ewz_stromverbrauch,31.08.2026 22:00,kWh,0.293989
sensor:ewz_stromverbrauch,31.08.2026 23:00,kWh,0.23499
